hash,message,parent_hashes,is_merge,modified_files
72acd20fe3cf5d1ffa55fd0bcbb01956bf66fa23,Fix typo in notebook fonction->function,8b3013e0188f9317aea3bc0637b6ae74b4a3e837,False,spherical_harmonics_approximation.ipynb
8c34bd6af580752daae0548a5a74be932b2cc619,Replaces the gamma parameter from sRGB functions with a fixed constant of 2.4 to accurately match the definition of the sRGB color space.  PiperOrigin-RevId: 250584151,1f4716f8d535ee067c66dd6b930c040d446ce9c2,False,constants.py;linear_rgb.py;srgb.py
cd8c42f9ca260f77c6acfecd42e66ef01d1a3766,Fix data processing error: https://github.com/tensorflow/tensorboard/issues/2271  PiperOrigin-RevId: 251547273,0456553a3df7fbdfbb80434870b7edc35bcbbc8b,False,array-buffer-data-provider.js
ec86ee80e57f33cb1a6c8fa3d5c1d9046faabc7d,Update subsite: - Add TensorBoard documentation link - Add Debug documentation link  PiperOrigin-RevId: 255708971,7f06f81bf05dca7214a6c2becb574229bfb7be75,False,_book.yaml;ray.py;bspline.py;spherical_harmonics_approximation.ipynb;array-buffer-data-provider.js;mesh-viewer.js;test_case_test.py
9cbb2f80ba7af5c8919a55ce5a931eccba945d0a,Fixing the typo reported by cglwn. PR to test that the pipeline between internal Google tools and processes interfaces well with GitHub.,4df7719026dcd9d54168b7172b2ce32034de5d1c,False,README.md
87e1a67b1833c1f82cb3a3399a563159af23fad8,"Revert ""Fixing the typo reported by cglwn. PR to test that the pipeline betweâ€¦""",589fa5af4e788a9b42d0cf2dc0c31342a3fb0512,False,README.md
7e44272b001a9f0bb6d75cde236ff52229fadafe,Fixing the typo reported by cglwn. PR to test that the pipeline between internal Google tools and processes interfaces well with GitHub.,53374303df1a0239b6ff608e65c5925d5c091cda,False,README.md
83faecb87a4e23e41bab2d3e44d5d66a2fbd9dca,The deployment of the public Colab at https://colab.sandbox.google.com/github/tensorflow/graphics/blob/master/tensorflow_graphics/notebooks/6dof_alignment.ipynb had a formatting issue preventing it from being loaded. This CL fixes the issue.  PiperOrigin-RevId: 258359182,dfbbfb7e460e2bedf8bd6045d2524ba8af7740d7,False,6dof_alignment.ipynb
5da4eb223cc6681506b3fe9716d2083c71274aa2,"Moved to rendering/rasterizer. Adds a minimum depth argument (i.e. function signatures have changed), fixes differentiability and speed issues, adds graph mode and AutoGraph compatibility.  PiperOrigin-RevId: 258806790",399384b6dc700d45a876bdb6166a36cdcf476d69,False,setup.py;test_data.py;BUILD;__init__.py;orthographic.py;BUILD;__init__.py;rasterizer.py;rasterizer_test.py;rasterizer.py;__init__.py;rasterizer_test.py
ffeb215c4266617fa11ee94275f208aa80a06099,Fixing a minor typo in the intrinsics optimization tf.graphics Colab.  PiperOrigin-RevId: 260258040,bc06eb2ddf9382e60d7f4d5f02f9fed12490e940,False,intrinsics_optimization.ipynb
fa0fc3496d86f0235d614a5f9a27257a1898cae2,Fix point cloud created with no colors  PiperOrigin-RevId: 260809436,851b0c861511470ef19b85f4439548012f68aad2,False,mesh-viewer.js
9c17bef76c9908c4772cd6b29f2dcc959cd274d8,Perspective correct interpolation over triangles.  PiperOrigin-RevId: 270071573,bd5c4d91c9231b6172b44ffb7b1d07780546ead2,False,BUILD;math.py;math_test.py
6bd4786367a97dc158935e39ddad91ef47e758c0,Adding link to train dataset and training code for mesh segmentation demo. Addresses github issue #86: https://github.com/tensorflow/graphics/issues/86  PiperOrigin-RevId: 274619017,dc22b266c225b7d667cc3836f6fc5a1d4bb47152,False,mesh_segmentation_demo.ipynb
5570ac49409f49f24f83fa1221de1fe495f99540,Add triangle area computation op. Typo fix in axis_angle tests.  PiperOrigin-RevId: 275674100,94c3de3f8f170c0e44941266b918d8d8edfac92e,False,triangle_test.py;triangle.py;axis_angle_test.py
2cf827b2ceb29c8b40e722d977ddd5a89514d1d4,Fix scipy.linalg import.  PiperOrigin-RevId: 276490491,996a4197c114cfed7995307e990fecde67fdb3fb,False,utils_test.py
f41134d5bb32c926aaa64ed8b6997e19a08954e1,Fixes an issue with running TF2 in graph mode.  PiperOrigin-RevId: 277997456,228472e31327635e80220a740f13d672252bec9f,False,math_test.py;shape.py
ddece14994c58da59716e33eb136308df3ffec2c,Fixes a bug in perspective_correct_interpolation.  PiperOrigin-RevId: 293098098,ec8652255d7fef01fb68c8f0e809b0b2a042644b,False,math.py;math_test.py
805a41ade76606e4ad8d11ef5d81e5ed70c3d909,Fix swapped width and height in rasterizer OP.  PiperOrigin-RevId: 297347106,31006bdd28f9b6e72889f0b9232171dc5a89fe1a,False,rasterizer_op.cc;rasterizer_op_test.py
a8354fa2346dff3b71d2ca8527d237b52bbb7412,Fixes the TF2 problems of the TFG notebooks.  PiperOrigin-RevId: 298185033,d9ed40386291ddaecf289132e53efb1e8e9cc574,False,6dof_alignment.ipynb;interpolation.ipynb;intrinsics_optimization.ipynb;non_rigid_deformation.ipynb;reflectance.ipynb;spherical_harmonics_approximation.ipynb;spherical_harmonics_optimization.ipynb
afd7cea5ec4362db2e76bb6e32c122cc25b01d3f,Solves some tf2 compatibility issues of the notebooks.  PiperOrigin-RevId: 299671211,8f360ebfc7e0a6a81e71124a336d63bbbd023c04,False,6dof_alignment.ipynb;spherical_harmonics_optimization.ipynb
1520c297f70c72efcd3091480f767f6588920f24,Small readability fix.  PiperOrigin-RevId: 300374596,0fe9ba076b0b18aeb1d4d5e4837e299c10d89650,False,chamfer_distance.py
9467f21a02cf4d06378b7134b26152fe50619bd9,Attempt at fixing the submodule import on the Google side.,6635f33da72baa2c94dd6ad45fefa80ec0dffd51,False,.gitmodules;redner
b7e5c02f03af06f513bd69c72e3f98c438846460,"Revert ""Attempt at fixing the submodule import on the Google side.""  This reverts commit 9467f21a02cf4d06378b7134b26152fe50619bd9.",9467f21a02cf4d06378b7134b26152fe50619bd9,False,.gitmodules;redner
9fcc120967513ef56e90571fa7f5e64e13491c26,Attempt at fixing the submodule import on the Google side.,b7e5c02f03af06f513bd69c72e3f98c438846460,False,.gitmodules;redner
6b905c68e802b73c04857c21cca2e026cc37c900,- changed warning when OpenEXR is missing because there's actually no info about it in README file. Another way would be to add it there and leave warning as it is. - updated notebooks to use Python 3 as default - fixed TF2 incompatibility in example at tensorflow.org/graphics - some typos,71f33f64a612a4e9c76551cd6d1aa6c66b241c0d,False,_index.ipynb;install.md;6dof_alignment.ipynb;interpolation.ipynb;intrinsics_optimization.ipynb;mesh_segmentation_demo.ipynb;non_rigid_deformation.ipynb;reflectance.ipynb;spherical_harmonics_approximation.ipynb;spherical_harmonics_optimization.ipynb;__init__.py
2ce21d09aa67a31f0aa3a858aac6d0d7df6f7daa,Decreases random number of dimensions to a maximum of 3 to prevent huge tensors.  This fixes a bug where the test was not running with runs_per_test=2. Due to the random seed being fixed with runs_per_test=1 the numbers that were sampled were small enough by chance. With runs_per_test=2 a second set of tensor shapes was sampled which led to huge tensors that did not fit in memory.  PiperOrigin-RevId: 302609726,079af5d8ea79be473a8c513962135b9db972ac9a,False,point_light_test.py
514a0d1bbe3411256f0275f612ebac256d6513a5,"Return correct shape from shape function, without dimensions reversed  PiperOrigin-RevId: 307119359",314353ca11b990d56ff85f31573aca04396cb928,False,rasterizer_op.cc;rasterizer_op_test.py
e5f6eb4004381bd55149dc994bbbb416d8f15611,Removing the coverage badge until coverage is fixed.  PiperOrigin-RevId: 308051436,68bf0e3c3ec2cfda0df524257618cc41fb9bed2e,False,README.md
8cc3a8cf408ff4fa54a115fb54b9123cb7827f89,Fix the formatting so that it renders as a notebook. Currently its raising errors.  PiperOrigin-RevId: 308082117,265144ba04cc77fdbb37c827225ef3009b779c5e,False,_index.ipynb
7f30e1413deda177aff18fed08b25a65a82a5213,fix Unknown Character rendering problem on Github,843a8fdd0cc48189c44dd399b8d66f3d99b852c6,False,matting.ipynb
f1d9070493601683eef34fbceb7df5735877974a,Fix .gitmodules  .gitmodules got jumbled when moving paths,5986ba3071c22ad2dd3682ada495d7ac4ac2dc16,False,.gitmodules
1c4f56009c118833d7f5d5654338782ef334789f,Fix on .gitmodules  PiperOrigin-RevId: 308572573,b825ad5ce2cace93de172689b0aa1807cfadec53,False,BUILD;pointnet.py;graph_convolution_test.py;pointnet_test.py
2472222701e458d5a303d2b887b457c8caece2f5,"Added projects/pointnet (#265)  * .gitignore pycache files    * Added nn/model/pointnet.py    * git ignore for bazel    * moving things out of sequential model    * added build for vanilla encoder    * WARNING: there is a sever mismatch  VanillaEncoder_LEGACY (70%) vs VanillaEncoder (62%) at epoch 0.    * FIXED: problem was with keras stale variables    * removed legacy, and using keras.layers for classification head    * linting    * pylint fix    * pylint    * pointnet.py documentation (mostly)    * dropped layers.    * pylint pointnet.py    * pointnet_test added    * improved docs for pointnet.py    * improved docs for pointnet.py    * duplicate test removed, flake8 passing    * Keras ""training=None"" flag    * .gitignore cannot be pushed via copybara (bug)    * ModelNet40: mismatch internal vs. external    * Added projects/pointnet    * PointNet training loop (release candidate)    * typos    * improved readme + aiplatform launch    * code review    * import orders",bdb6c2719ec63823f9383ae4bf2a59ae230af0e8,False,setup.py;__init__.py;README.md;aiplatform.sh;augment.py;helpers.py;train.py
8381df87a860c499909868f3cfb7706d42427c49,Fixing Google-side integration for PR263.  PiperOrigin-RevId: 308844921,f56acbac197d7e53ad5e419201440b4ef7a99fa7,False,BUILD;requirements.txt
eef762abab8e9e6b5e13fe6789d4b7d98507d3e2,"Fix GitHub rendering of matting notebook  It seems like GitHub doesn't support <center> tag in HTML so it just skips all images wrapped in it, changed it to different tag that works both in Colab and GitHub.  + another instance of minus sign (8722 in Unicode) that GitHub can't parse properly, missed it in previous PR.",8d989264694f5ac120815de511ad1e0b7f911523,False,matting.ipynb
d4426ff89fe2de198f4dbe758536cb66560120ec,"Fixing the typo reported in https://github.com/tensorflow/graphics/pull/216 from https://github.com/antonbaumann  There is a strange copybara issue with the PR, fixing it from the Google side.  PiperOrigin-RevId: 309752858",c84b7599d1f8a55ccbdd589c1a845494c17c2784,False,bspline_test.py
57d9a4db21e3dac704409abf9c4d6a916e67f047,Fix the year in the licence.  PiperOrigin-RevId: 310352559,ca22916674d334d357ca395d685b1a0acec4ee35,False,requirements.txt
837e742834f91a739838c44274c9f80626c75c83,fixed sys.argv,7b81d466570f094a486abb4b7c29d5b1cac54a5e,False,train_test.py
078cac65c647e48c061555adf8d27046e86d1837,"fix evaluation at end, not per step",28816e1f37ea2d552f873f00b07ead4cc26dfd41,False,train.py
dbf8fb761652a0f7e062a0b2320624724f085e50,Deployed github workflow (path fix)  PiperOrigin-RevId: 310838670,736b99a3306e302674a9b7599e3e2857b85fdb74,False,pythonapp.yml
af7f2f9ddeeaa81e18cbf7f86b2778729bc3e17b,Fix to workflow  PiperOrigin-RevId: 310980875,84195a0c6146f94a3f7eae395230e61121ed8eb4,False,pythonapp.yml
0236a7f95d4f15d93da1081f7aafeb5609440dd7,Fix the travis widget to reflect the status of master.  PiperOrigin-RevId: 311482619,5d902d033e9f0e3c8fce820eaa95f180881d3bc9,False,README.md
db402b7cc200f2d7199be939d41eafcbe156ee45,Move add_checksums_dir out of the constructor of the Shapenet dataset to fix shapenet_test.py for tensorflow_datasets version 3.1.  PiperOrigin-RevId: 312099499,d42b2fe3ae1b04c8f534e7de3bc788f14ad39025,False,shapenet.py
029031b28899b9731d4675130ed2df40d9f8ad72,Fix indentation in docstring  PiperOrigin-RevId: 312312909,737fcb1bad505604c08a6f76314ea3ab0bcb620a,False,triangle_rasterizer.py
20f9d3ffcd63f344841f507cab923aeeaee08a17,"Specified correct logdir for aiplatform, and selected GPU trainer.  PiperOrigin-RevId: 313082470",eaf074c801baf052bda0abd11e0864388aad1c26,False,aiplatform.sh
938aec7b2c8a9e3968ae742f51c9227d11c0b0b7,Moved tfg-nightly from test.pypi to pypi. Fixed typo in requirements.unix file  PiperOrigin-RevId: 313265876,dfe2b734df817945a9def8f2c788706ac1becbff,False,build.yml;tfg-nigthly-pypi.yml
2cfcb250c5d3b8354714d13ceec3008e6d5806dd,Add link to paper and fix some typos,7a7fd4cda5bc2665c712552a8bb816ee76d9ac9d,False,README.md
b69939be98626539d26e3747ee98ea86a263b7bf,"Reverting the dependency on tf nightly to build TFG nightlys due to an error linked with tf addons. It turns out that using tfa-nightly does not resolve the problem. If you want to use TFG nightly with TF nightly, please either git clone TFG and add it to your python path, or pip install tfg-nightly then pip install tf-nightly.  PiperOrigin-RevId: 315887838",7758ba6295cf74a5ffa1b1ec44b08d6e9db0333f,False,tfg-nigthly-pypi.yml
224a4eca2257c26ce6fd3d2a75afaea8a8ceea54,Fix test accuracy and timeout issues over multiple runs. Fix warnings in pointnet tests and modify imports.  PiperOrigin-RevId: 316357323,7edd127a71f370c0d63bfde6ea0dd0e96a21bf9a,False,test_helpers.py;pyramid_test.py;chamfer_distance_test.py;__init__.py;__init__.py;train.py;math_test.py;emission_absorption_test.py
82a713ebdc6e132cdfe8628bc4fd73ce0b875d7e,Fix Camera Feature for Pix3D,fd3ec91c955ab804de34e8808f0076c5ed278eb9,False,pix3d.py
175aee53402599352f197f41ee90f413abed1fe0,Fix Camera Feature for Pix3D,bdfbaa7b8bb79ed3b57c13d4d8bf1d545305ed7f,False,pix3d.py
f706bbcf758efc98af51e81e06f06736b59d0f5c,correct linting,9e4bdb7fce6655cfc1a6285fd4bea386a760dec5,False,camera_feature_test.py
193bc6d6d27c48b1a49f58f8677708f97ba64e10,Fix failing test case,efd4fc7f0ce723ef33e8c2375d5bcd3db3f78a83,False,camera_feature_test.py
8788ebaa6cb15b8f53ef6b1454302416275faa27,"Add rasterizer_op to tensorflow_graphics pip package.  The change does the following:  - Exports BUILD files for cc targets and tests needed for rasterizer_op     -- tensorflow_graphics/rendering/opengl/BUILD     -- tensorflow_graphics/util/BUILD  - Fixes a few Bazel issues to properly set up dependencies     -- Adds headers transitively included by rasterizer op in tensorflow_graphics/third_party/tf.bzl     -- Adds empty tensorflow_graphics/third_party/BUILD     -- Adds absl as dependency in tensorflow_graphics/opensource/WORKSPACE  - Includes rasterizer_op shared library to pip package     -- Adds rasterizer op to tensorflow_graphics/rendering/opengl/__init__.py, rasterizer module can be accessed as `from tensorflow_graphics.rendering.opengl import rasterizer` from the pip package     -- Includes the shared library in tensorflow_graphics/opensource/MANIFEST.in     -- Allows including non python files in tensorflow_graphics/opensource/setup.py  - Adds CI steps for rasterizer op     -- Adds steps to build rasterizer_op.so     -- Adds script to install mesa libraries that are compatible with the standard library used for building TensorFlow at tensorflow_graphics/opensource/build_rasterizer.sh  - A few other changes to get rasterizer op to build externally.  PiperOrigin-RevId: 318294823",f7838c2f91e739cbee1a4766ad3dd03ed14cfa22,False,build.yml;tfg-nigthly-pypi.yml;MANIFEST.in;WORKSPACE;build_rasterizer.sh;setup.py;opensource_only.files;BUILD;__init__.py;gl_render_targets.h;gl_shader_storage_buffer.h;rasterizer_op.cc;BUILD;BUILD;tf.bzl
52b28a89ce7502880f681816c573a89dfef8083c,Fix test cases,6717edca2e24ba6fd9cd66c2dc48fac350746b97,False,camera_feature.py;camera_feature_test.py
